tipo	fabricante	modelo	portas/capacidade	autonomia	ano	placa	renavam	chassi
carro	Fiat	Uno	4	12.99	2017	PYD-9152	87814053575	9BD7EQMTR2R2CYJ3Y
van	Mercedes-Benz	Sprinter	17	7.16	2014	PJI-1167	61716379322	9BM49ZNF1DES9AQZP
van	Mercedes-Benz	Sprinter	10	17.66	2015	PCK-9775	02233836921	9BM2AVJ7945P54FL9
carro	Ford	Ka	4	6.77	2014	PGK-7147	76656105030	9BFUXZK8AX85FK211
carro	Honda	Civic	4	14.36	2017	PFB-7012	75842202370	93H4LD48WND5SVIHJ
carro	Ford	Ka	4	7.56	2017	PQP-6179	92963953195	9BFLNBEA5ZUOKHNIU
ute	Fiat	Ducato	1800	7.8	2017	PCB-3045	34627665893	9BD08WGW8EQRHCFQN
carro	Chevrolet	Onix	4	7.55	2016	PDA-8013	22658351775	9BG3G4YWPPNBRHM83
carro	Honda	Civic	2	12.18	2017	OBZ-3499	09963345033	93HT7XEHT3QCNZ6U2
van	Mercedes-Benz	Sprinter	6	11.88	2014	PKX-1280	00637878241	9BMNSB4B3UHM9LMY6
carro	Honda	Civic	4	10.77	2016	PEE-5914	25255407319	93HIBVHQ7UJXGXGDS
carro	Fiat	Uno	4	11.63	2016	PWA-8819	27325009069	9BD5VJ1H8AQSNNJ8S
carro	Fiat	Uno	2	9.74	2015	PTL-4937	82038113534	9BDVMINM84XW0KH2S
van	Mercedes-Benz	Sprinter	9	7.5	2016	PJS-9512	11295940242	9BMZTAM5ORKK42XJ7
ute	Fiat	Ducato	1800	11.62	2017	PDQ-2335	94751511576	9BDOTTXBANBSKVRRJ
carro	Fiat	Uno	4	15.93	2017	OVC-4271	71036060371	9BDBH48BKRI9YFI4F
carro	Volkswagen	Gol	2	10.84	2016	PJA-4488	28115382683	9BWCD0RQMW84Q5Y0X
van	Mercedes-Benz	Sprinter	15	9.22	2017	OCB-8451	12151758682	9BM8QTV5ENLGVYFVL
ute	Mercedes-Benz	Sprinter	1800	11.78	2016	PCB-3194	53221126834	9BMR93FM00GG50FYX
van	Fiat	Ducato	10	11.36	2017	PUZ-4870	89944520925	9BDYD4V13SB899FE5
ute	Mercedes-Benz	Sprinter	1800	10.62	2017	OFY-5019	93179446957	9BMEYF7WYEJOVNVLZ
carro	Renault	Logan	4	11.48	2014	PZC-5224	01159578521	93YZSVGCBX5KEALIJ
carro	Volkswagen	Gol	4	6.8	2017	PSB-5754	95864532416	9BWROUW9HHKU70H67
carro	Ford	Ka	4	9.46	2016	PMB-1108	90216088183	9BF6DW8HWXMBJAPKK
van	Mercedes-Benz	Sprinter	7	11.29	2017	PUN-0908	01132080022	9BM7LEYMLNBDADJTD
carro	Volkswagen	Gol	4	10.63	2016	PZT-4195	32561578850	9BWEJWK2S6IA6BQSM
carro	Volkswagen	Gol	4	8.21	2014	PJR-1789	91305551153	9BWI7WYR14Z4A2D84
ute	Fiat	Ducato	1800	11.16	2015	PLH-4947	71468503070	9BDCBEAWWE01FX90Z
carro	Volkswagen	Gol	4	12.45	2017	PCF-7447	21453911872	9BW74KWDZJNHC8547
carro	Honda	Civic	4	9.24	2017	OWY-8929	95807596996	93HUV2IBOTJOQQZSK
van	Mercedes-Benz	Sprinter	12	12.71	2017	OIC-2892	13399359029	9BMM3SX8RO97OBC2T
van	Fiat	Ducato	11	12.54	2017	PDP-2520	47565853076	9BDK7MSYMDLCNT188
van	Fiat	Ducato	15	12.76	2017	OXY-5203	56635716419	9BDMLBKU4VF36U0PL
carro	Fiat	Uno	4	15.55	2015	PAA-5989	74898628082	9BDW0RNXYH9QLEK49
carro	Honda	Civic	2	6.29	2016	PLB-2245	00024076709	93HLLSJYSM8MPK06I
ute	Mercedes-Benz	Sprinter	1800	11.36	2017	PYI-8860	35939247369	9BMRGSPOMB8GHIVC0
carro	Fiat	Uno	4	13.2	2015	PXW-9739	91038163461	9BD90IUDOKU2Y4DM5
ute	Mercedes-Benz	Sprinter	1800	12.41	2016	PQR-4006	21702585063	9BMOLOL9HHH6QAJ6S
carro	Chevrolet	Onix	2	9.67	2017	OWJ-3649	61259091591	9BGU57ENC9IBGJB4S
van	Mercedes-Benz	Sprinter	11	13.4	2016	PIP-2161	40754569014	9BMYRO3R4X69L1084
carro	Toyota	Corolla	4	10.78	2016	PMH-0190	62433366226	9BRP28WXHVKB738KY
van	Fiat	Ducato	6	9.96	2015	PRH-5044	78519305136	9BDFZA47U3BL09NGG
carro	Ford	Ka	4	6.32	2015	OIN-0594	59362104672	9BFCZTK44TLAHHKGJ
ute	Fiat	Ducato	1800	14.33	2016	PTN-4607	65025732037	9BDAKY0SJHNCRVFE5
ute	Mercedes-Benz	Sprinter	1800	11.61	2017	PYT-2488	88586314218	9BM3EY0X1YRDS9ZTQ
carro	Honda	Civic	4	7.87	2014	OFG-1760	77818393281	93HIMQBDBQ7BODWJO
van	Fiat	Ducato	16	14.49	2014	OQW-3317	83849563142	9BD07YI1825QJWJ9W
carro	Honda	Civic	4	10.85	2016	PDC-1727	73743037148	93HMA02TKM1LHSGP2
carro	Chevrolet	Spin	4	14.81	2017	PME-7787	02338284783	9BGJYZK0L7W4PSDC9
carro	Ford	Ka	4	9.61	2014	ORN-0816	03876520958	9BFOL57XJ0C5RY9U2
van	Fiat	Ducato	8	13.34	2016	PQE-9053	20006378283	9BDKBMI8FUCYZCYYW
van	Mercedes-Benz	Sprinter	11	15.37	2016	PHO-3580	84876417274	9BMIGJCXB2PLBIYK5
van	Fiat	Ducato	17	8.49	2017	PRW-4541	77315886433	9BDSJYB9GFDSGF3R6
carro	Honda	Civic	4	17.51	2016	PNQ-5252	39702672820	93HZERGKGF0KY7M1K
carro	Chevrolet	Spin	4	14.66	2015	PXA-5952	17837283828	9BG3MLSZGPBVNIJRJ
