tipo	fabricante	modelo	portas/capacidade	autonomia	ano	placa	renavam	chassi
carro	Fiat	Uno	4	12.99	2017	PYD-9152	87814053575	9BD7EQMTR2R2CYJ3Y
van	Mercedes-Benz	Sprinter	17	7.16	2014	PJI-1167	61716379322	9BM49ZNF1DES9AQZP
van	Mercedes-Benz	Sprinter	10	17.66	2015	PCK-9775	02233836921	9BM2AVJ7945P54FL9
carro	Ford	Ka	4	6.77	2014	PGK-7147	76656105030	9BFUXZK8AX85FK211
carro	Honda	Civic	4	14.36	2017	PFB-7012	75842202370	93H4LD48WND5SVIHJ
carro	Ford	Ka	4	7.56	2017	PQP-6179	92963953195	9BFLNBEA5ZUOKHNIU
ute	Fiat	Ducato	1800	7.8	2017	PCB-3045	34627665893	9BD08WGW8EQRHCFQN
carro	Chevrolet	Onix	4	7.55	2016	PDA-8013	22658351775	9BG3G4YWPPNBRHM83
carro	Honda	Civic	2	12.18	2017	OBZ-3499	09963345033	93HT7XEHT3QCNZ6U2
van	Mercedes-Benz	Sprinter	6	11.88	2014	PKX-1280	00637878241	9BMNSB4B3UHM9LMY6
carro	Honda	Civic	4	10.77	2016	PEE-5914	25255407319	93HIBVHQ7UJXGXGDS
carro	Fiat	Uno	4	11.63	2016	PWA-8819	27325009069	9BD5VJ1H8AQSNNJ8S
carro	Fiat	Uno	2	9.74	2015	PTL-4937	82038113534	9BDVMINM84XW0KH2S
van	Mercedes-Benz	Sprinter	9	7.5	2016	PJS-9512	11295940242	9BMZTAM5ORKK42XJ7
ute	Fiat	Ducato	1800	11.62	2017	PDQ-2335	94751511576	9BDOTTXBANBSKVRRJ
carro	Fiat	Uno	4	15.93	2017	OVC-4271	71036060371	9BDBH48BKRI9YFI4F
carro	Volkswagen	Gol	2	10.84	2016	PJA-4488	28115382683	9BWCD0RQMW84Q5Y0X
van	Mercedes-Benz	Sprinter	15	9.22	2017	OCB-8451	12151758682	9BM8QTV5ENLGVYFVL
ute	Mercedes-Benz	Sprinter	1800	11.78	2016	PCB-3194	53221126834	9BMR93FM00GG50FYX
van	Fiat	Ducato	10	11.36	2017	PUZ-4870	89944520925	9BDYD4V13SB899FE5
ute	Mercedes-Benz	Sprinter	1800	10.62	2017	OFY-5019	93179446957	9BMEYF7WYEJOVNVLZ
carro	Renault	Logan	4	11.48	2014	PZC-5224	01159578521	93YZSVGCBX5KEALIJ
carro	Volkswagen	Gol	4	6.8	2017	PSB-5754	95864532416	9BWROUW9HHKU70H67
carro	Ford	Ka	4	9.46	2016	PMB-1108	90216088183	9BF6DW8HWXMBJAPKK
van	Mercedes-Benz	Sprinter	7	11.29	2017	PUN-0908	01132080022	9BM7LEYMLNBDADJTD
carro	Volkswagen	Gol	4	10.63	2016	PZT-4195	32561578850	9BWEJWK2S6IA6BQSM
carro	Volkswagen	Gol	4	8.21	2014	PJR-1789	91305551153	9BWI7WYR14Z4A2D84
ute	Fiat	Ducato	1800	11.16	2015	PLH-4947	71468503070	9BDCBEAWWE01FX90Z
carro	Volkswagen	Gol	4	12.45	2017	PCF-7447	21453911872	9BW74KWDZJNHC8547
carro	Honda	Civic	4	9.24	2017	OWY-8929	95807596996	93HUV2IBOTJOQQZSK
van	Mercedes-Benz	Sprinter	12	12.71	2017	OIC-2892	13399359029	9BMM3SX8RO97OBC2T
van	Fiat	Ducato	11	12.54	2017	PDP-2520	47565853076	9BDK7MSYMDLCNT188
van	Fiat	Ducato	15	12.76	2017	OXY-5203	56635716419	9BDMLBKU4VF36U0PL
carro	Fiat	Uno	4	15.55	2015	PAA-5989	74898628082	9BDW0RNXYH9QLEK49
carro	Honda	Civic	2	6.29	2016	PLB-2245	00024076709	93HLLSJYSM8MPK06I
ute	Mercedes-Benz	Sprinter	1800	11.36	2017	PYI-8860	35939247369	9BMRGSPOMB8GHIVC0
carro	Fiat	Uno	4	13.2	2015	PXW-9739	91038163461	9BD90IUDOKU2Y4DM5
ute	Mercedes-Benz	Sprinter	1800	12.41	2016	PQR-4006	21702585063	9BMOLOL9HHH6QAJ6S
carro	Chevrolet	Onix	2	9.67	2017	OWJ-3649	61259091591	9BGU57ENC9IBGJB4S
van	Mercedes-Benz	Sprinter	11	13.4	2016	PIP-2161	40754569014	9BMYRO3R4X69L1084
carro	Toyota	Corolla	4	10.78	2016	PMH-0190	62433366226	9BRP28WXHVKB738KY
van	Fiat	Ducato	6	9.96	2015	PRH-5044	78519305136	9BDFZA47U3BL09NGG
carro	Ford	Ka	4	6.32	2015	OIN-0594	59362104672	9BFCZTK44TLAHHKGJ
ute	Fiat	Ducato	1800	14.33	2016	PTN-4607	65025732037	9BDAKY0SJHNCRVFE5
ute	Mercedes-Benz	Sprinter	1800	11.61	2017	PYT-2488	88586314218	9BM3EY0X1YRDS9ZTQ
carro	Honda	Civic	4	7.87	2014	OFG-1760	77818393281	93HIMQBDBQ7BODWJO
van	Fiat	Ducato	16	14.49	2014	OQW-3317	83849563142	9BD07YI1825QJWJ9W
carro	Honda	Civic	4	10.85	2016	PDC-1727	73743037148	93HMA02TKM1LHSGP2
carro	Chevrolet	Spin	4	14.81	2017	PME-7787	02338284783	9BGJYZK0L7W4PSDC9
carro	Ford	Ka	4	9.61	2014	ORN-0816	03876520958	9BFOL57XJ0C5RY9U2
van	Fiat	Ducato	8	13.34	2016	PQE-9053	20006378283	9BDKBMI8FUCYZCYYW
van	Mercedes-Benz	Sprinter	11	15.37	2016	PHO-3580	84876417274	9BMIGJCXB2PLBIYK5
van	Fiat	Ducato	17	8.49	2017	PRW-4541	77315886433	9BDSJYB9GFDSGF3R6
carro	Honda	Civic	4	17.51	2016	PNQ-5252	39702672820	93HZERGKGF0KY7M1K
carro	Chevrolet	Spin	4	14.66	2015	PXA-5952	17837283828	9BG3MLSZGPBVNIJRJ
carro	Chevrolet	Onix	4	7.78	2014	PJD-6113	05490682615	9BG76UMKP7ZSKHKY1
carro	Toyota	Corolla	2	13.63	2017	PSJ-9595	24514392222	9BRJJ9NT6O3XT2VUG
ute	Fiat	Ducato	1800	13.02	2015	PZK-7078	39170894431	9BD2YYVYTEBK90I4V
carro	Renault	Logan	4	11.68	2017	OYZ-1234	21440850538	93Y55DBVOY85OA62T
carro	Chevrolet	Prisma	4	8.55	2014	PPK-0667	90597499035	9BGUNAVWJLQ1O7VQZ
van	Mercedes-Benz	Sprinter	7	13.01	2015	PVA-6089	33719338140	9BMQ5H9L3Q5UTL5RA
carro	Toyota	Corolla	4	10.4	2014	OPU-2275	34463809875	9BR531FXJZLKRYSGI
van	Mercedes-Benz	Sprinter	9	9.12	2017	PXH-2659	99027508687	9BM4T9TDUOQZPK21O
van	Fiat	Ducato	11	10.89	2017	PGZ-7957	95774856201	9BDK9SOHX0PIVC6FW
carro	Ford	Ka+	2	9.03	2017	PTD-7704	82820295913	9BFMFODMF78V8QJH9
carro	Chevrolet	Onix	4	16.69	2017	PBQ-5812	05796036194	9BGS8CZRXQE4T23QN
carro	Chevrolet	Prisma	4	9.27	2015	PIH-7714	95358589019	9BGJKNDLV5UHAW2TG
van	Fiat	Ducato	10	11.07	2017	OAC-3184	09509469382	9BDKLPWU3SQGDGI0Y
van	Fiat	Ducato	14	17.32	2016	PPW-6965	54458046232	9BDXWWVKO2H8SNMSR
carro	Toyota	Corolla	4	8.1	2014	PCW-4340	59621499116	9BR5SDYU448LMSOTX
ute	Fiat	Ducato	1800	7.04	2017	PJM-7275	87532485425	9BD8UKTDIUHSKXO8V
carro	Honda	Civic	4	12.22	2016	OEE-9020	36199860374	93HT4LW0JQ639FWRC
carro	Chevrolet	Onix	4	10.31	2017	PTF-2625	83238312752	9BGEANJ1TVT2M15BA
van	Mercedes-Benz	Sprinter	7	8.68	2017	OHE-0599	50575909036	9BM9U1JNJRZ0JXWOA
carro	Fiat	Uno	4	10.79	2017	OJS-5427	83280553084	9BDOL8P5Q9WBN8BB5
ute	Fiat	Ducato	1800	10.41	2014	OPO-1548	74510445150	9BD4ZSYIYSGP1YYVY
carro	Honda	Civic	4	11.62	2017	PAY-7781	28544429513	93H9EFZMLHFKH3C8A
ute	Mercedes-Benz	Sprinter	1800	11.22	2017	PDH-4913	15019311475	9BMB2UJFWFCXP74XM
van	Fiat	Ducato	15	8.91	2017	PMM-3282	84424017394	9BDKEMUVHE8AEOHDU
carro	Renault	Logan	2	9.16	2017	OQB-7506	13315027491	93YSFTI7FM2MIL3NV
carro	Ford	Ka+	4	10.79	2017	OEZ-0023	87476770944	9BFC6J1Z8VZ6W6JRO
carro	Renault	Logan	2	9.46	2015	PTZ-9408	67634897489	93YLUYNC60ZP1B9PP
carro	Toyota	Corolla	4	13.54	2016	PAK-0502	12569686908	9BRNB9HTRPZQFUJFI
carro	Volkswagen	Gol	2	9.48	2017	PJS-1241	36835975254	9BWA8VVQQFU7YY0DX
carro	Toyota	Corolla	4	15.89	2016	PIC-3789	03350975163	9BRTP9K26TXEWK2I9
van	Fiat	Ducato	15	13.23	2017	PXA-7385	95464390324	9BDR76ZS5ZT642O60
van	Mercedes-Benz	Sprinter	10	13.8	2015	PGE-6343	29986007167	9BMFCUI2UGHNV2IBD
ute	Fiat	Ducato	1800	17.2	2014	PKQ-6501	13397107822	9BDIZ0KD3OU1LSS6D
carro	Renault	Logan	4	12.14	2014	PMN-6964	61258903285	93YP4F76YVVW4A83K
carro	Chevrolet	Spin	4	10.36	2017	OVT-5288	63584281133	9BGLMVF1SKG84T97M
carro	Ford	Ka	4	11.23	2015	OOV-0490	44395954854	9BFE3016E5YTJM1XV
van	Fiat	Ducato	8	12.82	2017	PRD-8605	76123161980	9BDD9LBF6RWEFKO2O
carro	Volkswagen	Gol	2	13.83	2017	PPK-8299	19600703462	9BW3R9Q10B5O7JTDW
carro	Chevrolet	Onix	4	8.88	2017	PWX-8232	80739709911	9BGEMGCR0ES69FQLZ
van	Mercedes-Benz	Sprinter	9	13.08	2014	PQD-6926	38417751043	9BMJ69DU0UQBGV0OF
van	Fiat	Ducato	6	12.98	2017	PNF-6395	52346082330	9BDCDYVNQCW767A24
carro	Fiat	Uno	4	9.8	2015	PBX-5998	95196202217	9BDXIYUE4E5IU4CPR
carro	Ford	Ka	4	7.1	2017	PWX-1624	88301886038	9BFPKP7Q0UAORIS2S
van	Fiat	Ducato	15	11.71	2017	PQR-8024	12526692423	9BDVGZ9Z0LAA1TSAC
van	Fiat	Ducato	8	10.85	2016	PSF-0888	47565831179	9BDRZZXX3SEFC4C3Z
carro	Volkswagen	Gol	4	11.27	2015	PBD-4524	65563571734	9BWWBEIMI5MXA20MX
carro	Renault	Logan	2	13.85	2017	PJF-6109	25936296286	93YTQF6N6H1RU8QQ3
van	Fiat	Ducato	11	13.37	2015	PQP-6555	21091766108	9BD7P6E94VZYXX1A7
carro	Honda	Civic	4	9.42	2017	OSS-2332	95331904675	93HX6WSCRO0E4KOKP
carro	Volkswagen	Gol	4	6.57	2015	PPE-0722	39867812450	9BW0PXGIP5NHN02DF
van	Mercedes-Benz	Sprinter	14	9.68	2017	PKD-2004	26428740516	9BMFN6UPBGQEXRXYI
carro	Ford	Ka+	4	9.16	2016	OAG-4691	09484165552	9BFYMQQE5GM5II7YM
van	Mercedes-Benz	Sprinter	12	8.72	2017	OST-1575	36108300951	9BMZRCJKHN5NKHWQH
van	Mercedes-Benz	Sprinter	14	9.19	2016	PUR-7939	34104644181	9BM0T82HRST6YX116
carro	Chevrolet	Onix	4	11.77	2015	PQT-3762	59985373600	9BGX1LGEW7OYKF1QY
carro	Volkswagen	Gol	4	16.2	2015	PWS-7832	48013614243	9BWO3UP1G05NYB8VU
carro	Ford	Ka	4	10.43	2015	PHA-2137	95373118166	9BFMLPXV32JA6VHG1
van	Mercedes-Benz	Sprinter	16	9.79	2015	POX-2907	67252258297	9BMM4RPR2D45QEF6A
carro	Fiat	Uno	4	11.0	2017	OYD-8188	47007688306	9BDHXJW46MNB8QZNJ
van	Mercedes-Benz	Sprinter	8	16.96	2017	PCA-9205	78883972617	9BMP13LXSH6G310LL
carro	Volkswagen	Gol	4	10.19	2017	PYB-7290	17210693084	9BW4S4NLB41YYTF89
carro	Ford	Ka	4	9.7	2017	PFX-4223	43134372524	9BFRPUJ7GOTKYHPRY
carro	Ford	Ka	4	8.42	2017	PQW-5092	06541343722	9BF39WI4S5OAWS3ZS
carro	Volkswagen	Gol	4	10.2	2015	PMW-4130	74453132283	9BWBHB3RU2DMJQEPK
van	Fiat	Ducato	12	9.95	2015	PRU-5011	38118777836	9BD1RLEMC7LX6LN64
ute	Fiat	Ducato	1800	11.84	2014	POP-5850	34520637121	9BDK8AU75F12KWA7K
carro	Toyota	Corolla	4	11.65	2015	PLD-3108	98812082449	9BRCNPYHU7DWCAX9C
van	Fiat	Ducato	14	7.97	2014	PYR-8647	95455517038	9BDZ9MG6DE3LLHA2F
carro	Ford	Ka+	4	13.41	2017	PRH-0535	03078997009	9BFKZRSMYK11ZT3BK
ute	Mercedes-Benz	Sprinter	1800	15.33	2015	PWX-4567	17770950314	9BMI2UTX3R7QZQW1C
